,1,3,7,10,16,19,23,25,29,31,37,41,45,49,62,68,70,76,78,82,88,Train,Test
IncV3_keras_imagenet/t1_24003200_aug10_aug+aug_aug+aug,100.0,100.0,99.5,100.0,99.9,100.0,59.2,54.8,54.6,100.0,99.5,99.0,100.0,100.0,98.3,100.0,100.0,96.1,91.0,95.5,83.5,99.7,76.4
IncV3_keras_imagenet/t2_24003200_aug10_aug+aug_aug+aug,97.8,99.6,98.7,99.0,100.0,99.7,63.3,52.7,56.1,100.0,99.5,96.4,100.0,100.0,96.5,99.9,99.5,94.7,86.2,95.5,77.4,99.0,75.1
IncV3_keras_imagenet/t3_24003200_aug10_aug+aug_aug+aug,100.0,100.0,99.9,100.0,99.9,99.7,67.8,51.1,56.4,100.0,99.5,98.9,99.2,100.0,99.0,100.0,100.0,96.1,90.2,100.0,78.6,99.7,77.2
